interest,role
Data,Data Scientist
Data,Data Analyst
Data,Machine Learning Engineer
Data,AI Engineer
Data,Data Engineer
Data,Business Analyst
Web,Frontend Developer
Web,Backend Developer
Web,Full Stack Developer
Web,Web Designer
Web,UI Developer
Software,Software Engineer
Software,Backend Developer
Software,System Engineer
Software,Application Developer
AI,AI Engineer
AI,Machine Learning Engineer
AI,Deep Learning Engineer
AI,NLP Engineer
AI,Computer Vision Engineer
Cloud,Cloud Engineer
Cloud,DevOps Engineer
Cloud,Site Reliability Engineer
Cloud,Cloud Architect
Security,Cybersecurity Analyst
Security,Security Engineer
Security,Ethical Hacker
Security,Penetration Tester
Design,UI Designer
Design,UX Designer
Design,Product Designer
Design,Graphic Designer
Mobile,Android Developer
Mobile,iOS Developer
Mobile,Flutter Developer
Mobile,React Native Developer
Game,Game Developer
Game,Game Designer
Game,3D Artist
Management,Product Manager
Management,Project Manager
Management,Program Manager
Testing,QA Engineer
Testing,Automation Tester
Testing,Manual Tester
